arch,cell,n_seeds,acc_mean,f1_macro_mean,error_rate_mean,n_errors_mean,error_ratio_mean,params_total_mean,params_nonzero_mean,macs_mean,artifact_bytes_mean,lat_cpu_t1_b1_mean,lat_cpu_t16_b1_mean,lat_cpu_t16_b32_mean,lat_gpu_eager_fp32_b1_mean,lat_gpu_eager_fp16_b1_mean,lat_gpu_trt_b1_mean,lat_gpu_trt_b32_mean,lat_gpu_trt_fp16_b1_mean,error_rate_std,error_ratio_std
densenet121,prune-98,3,0.9967469173453889,0.9967625087140458,0.003253082654611106,272.0,1.6516217564870332,6972306.0,221439.0,2864541184.0,3396888.6666666665,,16.54327698634006,,,,,,,0.00014100470169172477,0.04944066726052712
densenet121,trt-fp16,3,0.9980345958961725,0.9980505434329551,0.001965404103827543,164.33333333333334,0.9980039920159723,6972306.0,6972306.0,2864541184.0,15677542.666666666,,,,,,2.7586380019783974,8.425753010669723,,4.527930940400663e-05,0.0034571872406489773
densenet121,trt-fp32,3,0.9980266226543719,0.9980428834888396,0.00197337734562808,165.0,1.0019960079840462,6972306.0,6972306.0,2864541184.0,35960929.333333336,,,,,,4.22509151394479,17.96807997743599,,5.213183289129257e-05,0.003457187240680987
densenet121,trt-int8,3,0.997903037406464,0.997920249228009,0.002096962593536089,175.33333333333334,1.0651821357285511,6972306.0,6972306.0,2864541184.0,15417881.333333334,,,,,,3.1708960013929754,16.880729992408305,,1.8268992042549188e-05,0.02632050761644164
resnet50,baseline,3,0.9979269571318654,0.9979468631457479,0.0020730428681345523,173.33333333333334,1.0,23544914.0,23544914.0,4109501440.0,94492735.0,51.73603800358251,10.74812698061578,374.53856648062356,1.8100170127581805,1.4385134854819626,2.6445635012350976,14.444191008806229,0.9414459927938879,8.65197772842791e-05,0.0
resnet50,int8-cpu,3,0.9978472247138602,0.9978669446771727,0.0021527752861397,180.0,1.0387070091507216,23544914.0,23544914.0,4109501440.0,24134257.0,7.994674000656232,1.3848099915776402,33.336849010083824,,,,,,0.00016743807781085694,0.07166078634389493
resnet50,prune-50,3,0.9979907430662696,0.9980119222305103,0.0020092569337304043,168.0,0.9697735303905524,23544914.0,11799026.0,4109501440.0,53510472.666666664,,11.025164509192109,,,,,,,6.328564484144944e-05,0.028836050019788454
resnet50,prune-70,3,0.9979708099617683,0.9979895955738685,0.002029190038231654,169.66666666666666,0.9790845033846116,23544914.0,7100671.0,4109501440.0,36528912.333333336,,11.280823004199192,,,,,,,7.307596817012408e-05,0.015949121026609205
resnet50,prune-90,3,0.9977316127077528,0.9977504609427211,0.0022683872922472093,189.66666666666666,1.0951437821367254,23544914.0,2402316.0,4109501440.0,18003566.333333332,,10.855025524506345,,,,,,,3.009832775313635e-05,0.03317537192963189
resnet50,prune-90+int8-cpu,1,0.9975841077344432,0.99760263783444,0.0024158922655568293,202.0,1.1412429378531108,23544914.0,2402316.0,4109501440.0,24134257.0,,,,,,,,,,
resnet50,prune-90+trt-int8,1,0.9976678267733486,0.997688480051225,0.0023321732266513573,195.0,1.101694915254223,23544914.0,2402316.0,4109501440.0,25075964.0,,,,,,0.7928209670353681,,,,
