arch,seed,cell,run,acc,f1_macro,error_rate,n_errors,error_ratio,params_total,params_nonzero,macs,artifact_bytes,lat_cpu_t1_b1,lat_cpu_t16_b1,lat_cpu_t16_b32,lat_gpu_eager_fp32_b1,lat_gpu_eager_fp16_b1,lat_gpu_trt_b1,lat_gpu_trt_b32,lat_gpu_trt_fp16_b1
densenet121,2,prune-95,eixo2_prune_densenet121_p95_s2,0.9977276260868525,0.9977469041025366,0.0022723739131474963,190,1.1377245508982385,6972306,428098,2864541184,4423884,,,,,,,,
densenet121,0,prune-98,eixo2_prune_densenet121_p98_s0,0.9968665159723966,0.9968804896929816,0.0031334840276033837,262,1.6374999999999869,6972306,221439,2864541184,3400840,,,,,,,,
densenet121,1,prune-98,eixo2_prune_densenet121_p98_s1,0.9965914391302788,0.9966101936919954,0.003408560869721189,285,1.70658682634733,6972306,221439,2864541184,3395258,,,,,,,,
densenet121,2,prune-98,eixo2_prune_densenet121_p98_s2,0.9967827969334913,0.9967968427571604,0.0032172030665087448,269,1.6107784431137824,6972306,221439,2864541184,3394568,,,,,,,,
resnet50,0,prune-50,eixo2_prune_resnet50_p50_s0,0.9980146627916712,0.9980358510889258,0.00198533720832883,166,0.9378531073446124,23544914,11799026,4109501440,53516180,,,,,,,,
resnet50,1,prune-50,eixo2_prune_resnet50_p50_s1,0.9980385825170727,0.9980619884138355,0.00196141748292733,164,0.9939393939394072,23544914,11799026,4109501440,53512581,,,,,,,,
resnet50,2,prune-50,eixo2_prune_resnet50_p50_s2,0.997918983890065,0.9979379271887695,0.002081016109935052,174,0.9775280898876375,23544914,11799026,4109501440,53502657,,,,,,,,
resnet50,0,prune-70,eixo2_prune_resnet50_p70_s0,0.9979070240273642,0.9979261764494072,0.002092975972635802,175,0.9887005649717239,23544914,7100671,4109501440,36527119,,,,,,,,
resnet50,1,prune-70,eixo2_prune_resnet50_p70_s1,0.9980505423797735,0.9980720358722961,0.001949457620226469,163,0.9878787878787583,23544914,7100671,4109501440,36538441,,,,,,,,
resnet50,2,prune-70,eixo2_prune_resnet50_p70_s2,0.9979548634781673,0.9979705743999021,0.002045136521832691,171,0.9606741573033526,23544914,7100671,4109501440,36521177,,,,,,,,
resnet50,0,prune-90,eixo2_prune_resnet50_p90_s0,0.9977276260868525,0.9977457240488705,0.0022723739131474963,190,1.0734463276836115,23544914,2402316,4109501440,18032161,,,,,,,,
resnet50,0,prune-90+int8-cpu,eixo2_prune_resnet50_p90_s0,0.9975841077344432,0.99760263783444,0.0024158922655568293,202,1.1412429378531108,23544914,2402316,4109501440,24134257,,,,,,,,
resnet50,0,prune-90+trt-int8,eixo2_prune_resnet50_p90_s0,0.9969861145994044,0.9970051787593819,0.0030138854005955507,252,1.4237288135592803,23544914,2402316,4109501440,25067148,,,,,,,,
resnet50,1,prune-90,eixo2_prune_resnet50_p90_s1,0.9977635056749549,0.9977841224965016,0.0022364943250451352,187,1.133333333333322,23544914,2402316,4109501440,17954889,,,,,,,,
resnet50,2,prune-90,eixo2_prune_resnet50_p90_s2,0.997703706361451,0.9977215362827911,0.0022962936385489963,192,1.0786516853932426,23544914,2402316,4109501440,18023649,,,,,,,,
resnet50,0,prune-95,eixo2_prune_resnet50_p95_s0,0.9972492315788215,0.9972683594808937,0.0027507684211784955,230,1.2994350282485574,23544914,1227727,4109501440,12720469,,,,,,,,
resnet50,0,prune-95+int8-cpu,eixo2_prune_resnet50_p95_s0,0.9971535526772153,0.9971749470778032,0.0028464473227847176,238,1.344632768361557,23544914,1227727,4109501440,24134257,,,,,,,,
resnet50,0,prune-95+trt-int8,eixo2_prune_resnet50_p95_s0,0.9968665159723966,0.9968824327860166,0.0031334840276033837,262,1.480225988700556,23544914,1227727,4109501440,25111716,,,,,,,,
resnet50,1,prune-95,eixo2_prune_resnet50_p95_s1,0.9973568703431285,0.9973732370082617,0.0026431296568715235,221,1.339393939393926,23544914,1227727,4109501440,12723799,,,,,,,,
resnet50,2,prune-95,eixo2_prune_resnet50_p95_s2,0.997440589382034,0.9974571934668643,0.0025594106179660514,214,1.2022471910112102,23544914,1227727,4109501440,12687652,,,,,,,,
resnet50,0,prune-98,eixo2_prune_resnet50_p98_s0,0.9961369643476493,0.9961583129990922,0.003863035652350688,323,1.824858757062113,23544914,522974,4109501440,9230062,,,,,,,,
resnet50,1,prune-98,eixo2_prune_resnet50_p98_s1,0.9958738473682323,0.9958882477417426,0.004126152631767743,345,2.09090909090906,23544914,522974,4109501440,9211055,,,,,,,,
resnet50,2,prune-98,eixo2_prune_resnet50_p98_s2,0.9962206833865547,0.9962271123503823,0.003779316613445327,316,1.7752808988764273,23544914,522974,4109501440,9180652,,,,,,,,
